Datetime,Symbol,Open,High,Low,Close
2021-07-01 00:00:00,BTC,35049.0454840254,35056.8172220002,34991.3266575571,34993.9942668124
2021-07-01 00:01:00,BTC,34995.3492016447,35030.5830406415,34989.1676945223,34991.2664643031
2021-07-01 00:02:00,BTC,34991.9509390869,34994.4317187966,34929.6718005006,34952.4501123955
2021-07-01 00:03:00,BTC,34954.6423239233,34980.6575185065,34954.6423239233,34961.6498255541
2021-07-01 00:04:00,BTC,34960.3504360405,34996.2454354977,34960.3504360405,34976.5863951308
2021-07-01 00:05:00,BTC,34976.3843656077,34976.3843656077,34900.1888925679,34903.8665722985
2021-07-01 00:06:00,BTC,34900.6365247269,34918.6096907033,34899.0799215364,34907.6506300014
2021-07-01 00:07:00,BTC,34907.9677096245,34954.2742363578,34904.4700600135,34932.3934987402
2021-07-01 00:08:00,BTC,34932.8386749447,34957.6666273756,34918.7209792328,34957.6666273756
2021-07-01 00:09:00,BTC,34958.0292535007,34958.0292535007,34847.7023705998,34854.8597644395
2021-07-01 00:10:00,BTC,34855.6367706739,34886.8387258229,34847.7056754116,34874.5754189543
2021-07-01 00:11:00,BTC,34879.2766534249,34881.7938720915,34849.9865647223,34856.2809557831
2021-07-01 00:12:00,BTC,34856.2870758125,34865.4476765132,34808.813044663,34808.813044663
2021-07-01 00:13:00,BTC,34798.4870570076,34843.3860675236,34798.4870570076,34838.7111183418
2021-07-01 00:14:00,BTC,34826.2763487742,34858.1402612082,34802.5621270897,34833.7833245642
2021-07-01 00:15:00,BTC,34837.6910116707,34876.5585008253,34837.6910116707,34865.1471639811
2021-07-01 00:16:00,BTC,34837.6910116707,34876.5585008253,34837.6910116707,34865.1471639811
2021-07-01 00:17:00,BTC,34837.6910116707,34876.5585008253,34837.6910116707,34865.1471639811
2021-07-01 00:18:00,BTC,34837.6910116707,34876.5585008253,34837.6910116707,34865.1471639811
2021-07-01 00:19:00,BTC,34837.6910116707,34876.5585008253,34837.6910116707,34865.1471639811
2021-07-01 00:20:00,BTC,34837.6910116707,34876.5585008253,34837.6910116707,34865.1471639811
2021-07-01 00:21:00,BTC,34851.6626685686,34872.1719662329,34851.6626685686,34868.5615451718
2021-07-01 00:22:00,BTC,34860.6230865863,34869.1309199325,34844.142276989,34869.1309199325
2021-07-01 00:23:00,BTC,34872.7688333577,34876.0121723978,34858.8340117059,34876.0121723978
2021-07-01 00:24:00,BTC,34876.0060427626,34876.0060427626,34780.7723604558,34802.475655674
2021-07-01 00:25:00,BTC,34802.7761314074,34803.0389034459,34728.6590112253,34734.2259653685
2021-07-01 00:26:00,BTC,34754.1138455354,34798.6951445754,34751.6949447244,34785.1948851418
2021-07-01 00:27:00,BTC,34787.3092755679,34797.137391643,34760.4991440709,34781.8141031431
2021-07-01 00:28:00,BTC,34790.8224392703,34803.305523377,34790.0261744911,34801.6402203259
2021-07-01 00:29:00,BTC,34800.8387111597,34804.7444677469,34792.667062115,34804.6371480001
2021-07-01 00:30:00,BTC,34804.6743350372,34831.1328417287,34790.239871256,34792.2147041676
2021-07-01 00:31:00,BTC,34793.8957676168,34805.170252314,34791.5678119038,34805.170252314
2021-07-01 00:32:00,BTC,34805.1785104758,34805.1785104758,34781.9601857633,34802.9469080626
2021-07-01 00:33:00,BTC,34803.0314348799,34828.902561226,34801.0327249386,34821.0954550293
2021-07-01 00:34:00,BTC,34821.0881325592,34839.8459793128,34812.3505267689,34839.8459793128
2021-07-01 00:35:00,BTC,34837.3559573851,34837.877818324,34803.3535985575,34803.3535985575
2021-07-01 00:36:00,BTC,34804.3229687137,34814.0255257914,34787.6649808963,34802.6400024133
